T 64/64 E:1.64698e+12, T:179878144, Cost:2.96255e+20 Ubuf/Buf/Bus/Mac:1.33258e+11/4.23542e+11/0/3.23155e+10 NoC(hops=89524557568, DRAM acc=9275428864) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Max NoC: 907809472
		encoder2_Q 1 (H:16,K:2,W:1,B:1) util:100/100 E:9.49327e+07, T:8256, Cost:7.83764e+11 Ubuf/Buf/Bus/Mac:6.84326e+06/3.08465e+07/0/2.41592e+06 NoC(hops=4129280, DRAM acc=528384) Buffer(max=26624, avg=26624) Buffer(max=131072, avg=131072) Buffer(max=16384, avg=16384) 262144/262144/262144 Max NoC: 69376
		encoder2_Kt2 1 (W:1,H:1,B:1,K:1) util:100/100 E:6.14116e+06, T:1024, Cost:6.28854e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=376832, DRAM acc=65536) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 32768/0/32768 Max NoC: 20480
		encoder2_K1 1 (H:4,W:1,B:1,K:1) util:100/100 E:2.92075e+07, T:4104, Cost:1.19868e+11 Ubuf/Buf/Bus/Mac:1.00483e+06/3.93759e+06/0/301990 NoC(hops=1464960, DRAM acc=262656) Buffer(max=75776, avg=75776) Buffer(max=32768, avg=32768) Buffer(max=65536, avg=65536) 262144/32768/32768 Max NoC: 41280
		encoder2_K6 1 (H:4,W:1,B:1,K:1) util:100/100 E:3.20904e+07, T:4616, Cost:1.48129e+11 Ubuf/Buf/Bus/Mac:1.00483e+06/3.93759e+06/0/301990 NoC(hops=1628672, DRAM acc=295424) Buffer(max=75776, avg=75776) Buffer(max=32768, avg=32768) Buffer(max=65536, avg=65536) 262144/32768/32768 Max NoC: 39168
		encoder2_Kt3 1 (W:1,H:1,B:1,K:1) util:100/100 E:4.39513e+06, T:512, Cost:2.25031e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=416128, DRAM acc=32768) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 32768/0/32768 Max NoC: 32768
		encoder2_Kt0 1 (W:1,H:1,B:1,K:1) util:100/100 E:6.14116e+06, T:1024, Cost:6.28854e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=376832, DRAM acc=65536) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 32768/0/32768 Max NoC: 20480
		encoder2_K7 1 (H:4,W:1,B:1,K:1) util:100/100 E:3.2714e+07, T:4616, Cost:1.51008e+11 Ubuf/Buf/Bus/Mac:1.00483e+06/3.93759e+06/0/301990 NoC(hops=1740032, DRAM acc=295424) Buffer(max=75776, avg=75776) Buffer(max=32768, avg=32768) Buffer(max=65536, avg=65536) 262144/32768/32768 Max NoC: 49536
		encoder2_Kt1 1 (W:1,H:1,B:1,K:1) util:100/100 E:3.99157e+06, T:512, Cost:2.04369e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=344064, DRAM acc=32768) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 32768/0/32768 Max NoC: 32768
		encoder2_K4 1 (H:4,W:1,B:1,K:1) util:100/100 E:3.07795e+07, T:4104, Cost:1.26319e+11 Ubuf/Buf/Bus/Mac:1.00483e+06/3.93759e+06/0/301990 NoC(hops=1745664, DRAM acc=262656) Buffer(max=75776, avg=75776) Buffer(max=32768, avg=32768) Buffer(max=65536, avg=65536) 262144/32768/32768 Max NoC: 57792
		encoder2_Kt4 1 (W:1,H:1,B:1,K:1) util:100/100 E:3.62457e+06, T:512, Cost:1.85578e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=278528, DRAM acc=32768) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 32768/0/32768 Max NoC: 16384
